,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,T[eV]
627,6.339633610068424e-48,1.3356550084826474e-41,3.2495171953238776e-36,2.745017693975989e-31,8.084272249898173e-27,1.7480348757087676e-22,1.078345304526554e-18,1.14974530741415e-14,1.975667356691273e-12,1.9679139379218875e-10,1.2405944073767531e-08,5.271543985123672e-07,1.675566350894716e-05,0.0005344306982377572,0.008177790144930868,0.09897643647603997,0.8804310771382563,0.011828815052767415,3.4155067137697875e-05,763.6298261282242
628,5.279885192858217e-48,1.1215121217379372e-41,2.75268403131349e-36,2.346664036540196e-31,6.977152171635392e-27,1.5234058537431192e-22,9.492856822201765e-19,1.023342838129841e-14,1.7770382680326897e-12,1.792116604612553e-10,1.144350164183157e-08,4.927302009419787e-07,1.5881225251758654e-05,0.0005139036627668989,0.007981698835358673,0.09811258980229304,0.8809823585375893,0.012355641271901465,3.7422310137258236e-05,768.9283720758306
629,4.398474258915335e-48,9.419539354751778e-42,2.332428191811784e-36,2.0066373871028137e-31,6.0231664890327e-27,1.3279662770525788e-22,8.358690484892673e-19,9.11040172328986e-15,1.5987306044898983e-12,1.6323579838689526e-10,1.0557700647511813e-08,4.6063108411041697e-07,1.5054573677704672e-05,0.0004942215685897408,0.007790955284864768,0.09726072434948546,0.8814957807586679,0.012901814253504753,4.097785758112324e-05,774.263682681127
630,3.6651519624044396e-48,7.913463158926849e-42,1.976832756206026e-36,1.716305386431314e-31,5.200876887772016e-27,1.1578709194961932e-22,7.361693663608205e-19,8.112353648557942e-15,1.4386182412316817e-12,1.487133627735854e-10,9.742216268144737e-09,4.306922146098321e-07,1.4272904028938655e-05,0.0004753451462022317,0.007605367706350327,0.09642034903402208,0.8819714588766844,0.01346792047596637,4.484527215482783e-05,779.6360130405237
631,3.054843142604929e-48,6.649813964050105e-42,1.6758540986903813e-36,1.468327627325483e-31,4.491884043195512e-27,1.0097882454361053e-22,6.485015343330979e-19,7.225118270368458e-15,1.2948023649432286e-12,1.355083874027275e-10,8.99126188679536e-09,4.0276087790569617e-07,1.3533582842004309e-05,0.0004572369894107761,0.007424749965873424,0.09559096335905197,0.8824094835099794,0.014054570726022121,4.904997787005846e-05,785.0456200204509
632,2.546754089930565e-48,5.589239248165663e-42,1.4210245113117156e-36,1.2564602054360255e-31,3.880391700831166e-27,8.808308835312404e-23,5.713908081520355e-19,6.436165311296451e-15,1.1655867200301234e-12,1.2349796242156044e-10,8.299542266380365e-09,3.76695567208563e-07,1.2834137307636562e-05,0.000439861467136509,0.007248921412570326,0.09477205714854542,0.8828099187500099,0.014662402544253848,5.361942039663195e-05,790.4927622696421
633,2.123636394951798e-48,4.6988353009387e-42,1.2052030006570757e-36,1.0753905902998105e-31,3.352835330052466e-27,7.68495920959443e-23,5.035463393658977e-19,5.73441014523759e-15,1.0494559447389366e-12,1.1257098896069965e-10,7.662213020702137e-09,3.523652303522813e-07,1.2172247930032717e-05,0.0004231847148147327,0.007077707685340163,0.09396311885035409,0.8831727938572819,0.015292079286417267,5.85832167922991e-05,795.9777002314978
634,1.771194411572538e-48,3.95111770146649e-42,1.0223745918008926e-36,9.206052075972864e-32,2.8975872960139237e-27,6.70618413916297e-23,4.43841293609725e-19,5.11008130254802e-15,9.450624847339386e-13,1.0262767801027313e-10,7.074882616698706e-09,3.296501984836309e-07,1.154579080374828e-05,0.0004071760605560308,0.006910960335047936,0.0931638135283646,0.8834979817001808,0.015944213053405435,6.397270298248417e-05,801.5006961565405
635,1.477566981934408e-48,3.323102905173409e-42,8.674667945836003e-37,7.882645241276292e-32,2.5046672214000427e-27,5.853231420096368e-23,3.912905470521941e-19,4.55455095151511e-15,8.512058638054418e-13,9.357822128574458e-11,6.533561205163383e-09,3.0844092668355606e-07,1.0952816115964211e-05,0.0003918076886927015,0.0067485547913717706,0.09237398067897878,0.8837852188992552,0.016619349222119054,6.98208345446921e-05,807.0620141149508
636,1.2328918467404543e-48,2.7955263474301485e-42,7.3619089120841795e-37,6.750929789438388e-32,2.1654807214364555e-27,5.109797674958708e-23,3.4502911898113134e-19,4.060160951470974e-15,7.668096560129477e-13,8.534111014935795e-11,6.034582030848881e-09,2.886354378063611e-07,1.0391484056454846e-05,0.00037705298765755167,0.006590370290932052,0.09159346373199237,0.8840342328087343,0.017318031189048535,7.616275144710119e-05,812.6619200091945
637,1.0289671088768842e-48,2.3522372966687023e-42,6.249200508060747e-37,5.782955209312823e-32,1.8726252104667114e-27,4.461705104386427e-23,3.042973209997936e-19,3.620111918751063e-15,6.909083446078984e-13,7.784233901210961e-11,5.574573540783752e-09,2.7013873114723244e-07,9.860056594480388e-06,0.0003628864392489044,0.006436288980610599,0.09082210277223715,0.8842447470906718,0.018040802949086825,8.303591970869034e-05,818.300681586739
638,8.589708420509559e-49,1.9796938899292268e-42,5.305868173797474e-37,4.954868532058059e-32,1.61972396694965e-27,3.896623188943745e-23,2.6842788310220197e-19,3.228366503082959e-15,6.226358400485575e-13,7.10147116715711e-11,5.1504355495107984e-09,2.528623055469408e-07,9.356891910463767e-06,0.00034928357564681915,0.0062861958609558176,0.09005973455528292,0.8844164820224705,0.018788208752879707,9.048025647217569e-05,823.9785684528512
639,7.172281494984277e-49,1.6665402367935658e-42,4.505965107244551e-37,4.2463112050791e-32,1.4012833549746245e-27,3.403826907652271e-23,2.36834656920381e-19,2.8795635727333766e-15,5.612151877441479e-13,6.47972117222706e-11,4.759317320118003e-09,2.3672371470144844e-07,8.880439122592565e-06,0.00033622093794065703,0.006139978729408445,0.08930619251458997,0.8845491547660572,0.019560792804126932,9.853826036072287e-05,829.6958520834906
640,5.990176342419336e-49,1.4032522398744846e-42,3.827540677899248e-37,3.6399049705857784e-32,1.212569969072689e-27,2.973986681353119e-23,2.0900270303869651e-19,2.568942080373978e-15,5.059493426402261e-13,5.913443115810187e-11,4.398597409006134e-09,2.2164615255707286e-07,8.429233293688872e-06,0.0003236760361277502,0.005997528123422831,0.08856130675982815,0.8846424795916188,0.020359099003893148,0.00010725514742292681,835.4528058382872
641,5.004106042075232e-49,1.181840951914216e-42,3.2520223597484558e-37,3.1208136001101974e-32,1.0495049199384899e-27,2.5989858765175967e-23,1.8447959283653057e-19,2.292273519144872e-15,4.562129003556952e-13,5.397605181919968e-11,4.065865134139968e-09,2.075580668055444e-07,8.001890704341922e-06,0.00031162731054336666,0.0058587372635600975,0.08782490406608266,0.8846961680483522,0.021183670749368697,0.00011667899302213671,841.2497049736119
642,4.1813746687726005e-49,9.95604108643124e-43,2.7636935432774422e-37,2.676369277829193e-32,9.085728668613763e-28,2.2717622507966292e-23,1.628677760287635e-19,2.045802000657742e-15,4.1144468590451303e-13,4.9276374821343507e-11,3.758903537447122e-09,1.9439279861863715e-07,7.597104378919642e-06,0.0003000540946822389,0.005723501996621738,0.08709680785368434,0.8847099290742514,0.022035050794902603,0.00012686088008677035,847.0868266557402
643,3.4947670797414865e-49,8.389179999924722e-43,2.3492523277898646e-37,2.2957540809568116e-32,7.867437368462209e-28,1.9861701960576513e-23,1.4381788326663756e-19,1.8261910953498977e-15,3.711411112098561e-13,4.4993893548398467e-11,3.4756737221296314e-09,1.8208824688061524e-07,7.213639851683351e-06,0.00028893657937249524,0.005591720738892568,0.08637683815837637,0.8846834690365039,0.022913781183507155,0.0001378550542082902,852.9644499741016
644,2.9216262931219463e-49,7.070631179846624e-43,1.9974387112609517e-37,1.9697284168123298e-32,6.8140535806140215e-28,1.7368610471366746e-23,1.2702284914199763e-19,1.6304766721661762e-15,3.348502217570466e-13,4.1090906191020454e-11,3.2143004549809984e-09,1.7058655528763105e-07,6.850331160806026e-06,0.00027825577826305246,0.005463294419556634,0.08566481159156052,0.8846164916936308,0.02382040325739066,0.00014971908615443507,858.8828559546249
645,2.4430866931545306e-49,5.960780878360907e-43,1.6987195512881294e-37,1.6903994793030828e-32,5.903054828353148e-28,1.5191790830878126e-23,1.1221275497348199e-19,1.4560250603476023e-15,3.021663609410184e-13,3.7533164181703265e-11,2.9730589324317258e-09,1.598338207879907e-07,6.506077058660864e-06,0.0002679934945861436,0.005338126424347471,0.08496054129033243,0.884508698070075,0.024755457756425726,0.0001625140424580295,864.8423275731726
646,2.0434366818866504e-49,5.026372831859669e-43,1.4450223230945753e-37,1.4510238130875218e-32,5.1150188848600015e-28,1.3290711593418166e-23,9.91503030779488e-20,1.3004959323240997e-15,2.727253880347447e-13,3.4289553209990377e-11,2.7503626170100855e-09,1.4977982193531455e-07,6.1798374272837595e-06,0.00025813228915711356,0.005216122539491948,0.08426383685706629,0.8843597862334601,0.02571948501380165,0.00017630466484752573,870.8431497690724
647,1.7095888691300822e-49,4.239482751569313e-43,1.2295100961201243e-37,1.2458389477570373e-32,4.433194276098023e-28,1.1630081800032195e-23,8.762684505170161e-20,1.1618093744037771e-15,2.46200392322696e-13,3.133180380543525e-11,2.5447520582652397e-09,1.4037776581893142e-07,5.870629888431065e-06,0.0002486554495742116,0.005097190896004428,0.08357450428827856,0.8841694509643321,0.02671302525841955,0.00019115955940567564,876.8856094587427
648,1.4306396060272383e-49,3.576658918220802e-43,1.0463913293319372e-37,1.0699198092995045e-32,3.843130572041528e-28,1.0179168548395451e-23,7.745889608598401e-20,1.0381166720685757e-15,2.2229785188377313e-13,2.8634228752277825e-11,2.3548846189946223e-09,1.315840523225849e-07,5.577526598158481e-06,0.00023954696058170198,0.004981241914385248,0.08289234589253092,0.8839373833077266,0.02773661903390388,0.0002071513964788152,882.9699955494083
649,1.1975027513944418e-49,3.0182018942853133e-43,8.90759080681195e-38,9.19056250920518e-33,3.332360117166239e-28,8.911203899747886e-24,6.848507567994824e-20,9.277743900619487e-16,2.0075419083892767e-13,2.6173484851099626e-11,2.179525033885288e-09,1.233580545437274e-07,5.299651216320037e-06,0.0002307914755602333,0.004868188249776371,0.08221716019714118,0.8836632699954547,0.02879080774438359,0.00022435712251266994,889.0965989529158
650,1.002605120768132e-49,2.547560760225331e-43,7.584550665995687e-38,7.896485862466242e-33,2.8901240186684847e-28,7.802869389254313e-24,6.056342243303081e-20,8.293213748409703e-16,1.8133269366231314e-13,2.3928356771328692e-11,2.0175367334677754e-09,1.1566191428205236e-07,5.0361760418491835e-06,0.00022237428910910467,0.00475794473762413,0.08154874184347562,0.8833467927275459,0.029876134337478703,0.00024285818516313869,895.2657125996401
651,8.3963319446466e-50,2.1508269584932913e-43,6.459547171210912e-38,6.786184688704873e-33,2.507136215213218e-28,6.833847949186768e-24,5.356903702144311e-20,7.414583490275858e-16,1.6382073944652448e-13,2.187956094627288e-11,1.8678738716187405e-09,1.0846035157757636e-07,4.78631930512783e-06,0.00021428131068577735,0.004650428339898761,0.08088688147064237,0.8829876273008073,0.030993144135167187,0.0002627407732238056,901.4776314524918
652,7.033224266544481e-50,1.8163099071800125e-43,5.502699714684815e-38,5.833328549418057e-33,2.17538031290446e-28,5.986434394605319e-24,4.739201309939406e-20,6.630298048246617e-16,1.4802732286204889e-13,2.0009567651244685e-11,1.7295739997697116e-09,1.0172048734549041e-07,4.5493426091661765e-06,0.0002064990392686022,0.004545558091917472,0.08023136558736733,0.8825854425720244,0.03214238582346529,0.0002840960731281804,907.7326525210224
653,5.892819636323577e-50,1.534181121851419e-43,4.6886706492954807e-38,5.015391201333479e-33,1.8879346182173828e-28,5.245196785314666e-24,4.193562081057798e-20,5.930079364906978e-16,1.3378083200383504e-13,1.8302439577035473e-11,1.6017513355210246e-09,9.541167821810344e-08,4.324548511727994e-06,0.00019901453900963626,0.0044432550498184785,0.0795819764319319,0.8821398992427758,0.03332441261206016,0.0003070205440259645,914.0310748756223
654,4.938487969650381e-50,1.2961757409511061e-43,3.9959698508421326e-38,4.313096874156235e-33,1.6388214367144106e-28,4.596681988894789e-24,3.711471193389293e-20,5.304783813623447e-16,1.2092705641403938e-13,1.6743685366977066e-11,1.4835905775417685e-09,8.950536276295439e-08,4.111278240919029e-06,0.0001918154158449551,0.004343442238729869,0.0789384918200141,0.8816506484523952,0.03453978357525499,0.00033161621370146475,920.3731996618221
655,4.139663882121194e-50,1.0953421555949499e-43,3.406366361802173e-38,3.709947649783536e-33,1.4228772560111013e-28,4.029159647625918e-24,3.2854319493228316e-20,4.746275649941878e-16,1.0932740134644741e-13,1.532012672756848e-11,1.3743412224951002e-09,8.397491830149353e-08,3.908909537131795e-06,0.00018488979503086976,0.004246044601678773,0.0783006849803263,0.8811173301650471,0.035789065185789226,0.0003579909979012706,926.7593301146883
656,3.470836414993245e-50,9.258319559252906e-44,2.904390550479906e-38,3.1918200058711795e-33,1.2356409041635175e-28,3.5323995146001965e-24,2.908842799967632e-20,4.2473146912046602e-16,9.885728682672675e-14,1.4019777851348325e-11,1.273312343278246e-09,7.879552760427854e-08,3.716854614589901e-06,0.00017822629957495734,0.004150988949283298,0.07766832437798432,0.8805395713363429,0.03707283305327016,0.0003862590459707159,933.1897715733239
657,2.910707974660558e-50,7.827236713759293e-44,2.476912791365732e-38,2.7466203498218917e-33,1.0732571811855807e-28,3.0974777864340135e-24,2.5758893422949082e-20,3.80145661667458e-16,8.940471229416675e-14,1.2831736007639935e-11,1.1798677911429161e-09,7.39440547871261e-08,3.5345582360810442e-06,0.00017181402953188492,0.004058203910272192,0.07704117352555925,0.8799169838443295,0.03839167387915952,0.00041654111606760354,939.6648314954691
658,2.441494011767848e-50,6.618748413532048e-44,2.1127868442247908e-38,2.3639908714727427e-33,9.323938110246595e-29,2.7166086349354998e-24,2.2814494557213692e-20,3.4029644624742016e-16,8.086896961013837e-14,1.1746082262931547e-11,1.093421787272922e-09,6.939892977781628e-08,3.361495894785455e-06,0.00016564254213452734,0.003967619882872408,0.07641899078180114,0.8792491621690641,0.03974618764042289,0.00044896498363130124,946.1848194721993
659,2.0483397753504208e-50,5.597978395617631e-44,1.802547943279664e-38,2.035058322650943e-33,8.101698619992011e-29,2.382997639323136e-24,2.02100996992944e-20,3.0467300470985373e-16,7.31594890109688e-14,1.0753791389057663e-11,1.013434872173388e-09,6.5140040765337e-08,3.197172097420681e-06,0.00015970183273181124,0.003879168987109245,0.07580152913807872,0.8785356808043012,0.04113699001413898,0.00048366588723985026,952.750047242729
